Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundances (Normalized): F1: 127C, Sample, Empty"	"Abundances (Normalized): F1: 128C, Sample, Empty"	"Abundances (Normalized): F1: 128N, Sample, T1A"	"Abundances (Normalized): F1: 129N, Sample, T1A"	"Abundances (Normalized): F1: 129C, Sample, T1H"	"Abundances (Normalized): F1: 130N, Sample, T1H"	"Abundances (Normalized): F1: 130C, Sample, T3A"	"Abundances (Normalized): F1: 131N, Sample, T3A"	"Abundances (Normalized): F1: 131C, Sample, T3H"	"Abundances (Normalized): F1: 132N, Sample, T3H"	"Abundances (Normalized): F1: 132C, Sample, T5A"	"Abundances (Normalized): F1: 133N, Sample, T5A"	"Abundances (Normalized): F1: 133C, Sample, T5H"	"Abundances (Normalized): F1: 134N, Sample, T5H"	"Abundances (Normalized): F1: 126, Sample, Wild"	"Abundances (Normalized): F1: 127N, Sample, Wild"	"Found in Sample: [S3] F1: 127C, Sample, Empty"	"Found in Sample: [S5] F1: 128C, Sample, Empty"	"Found in Sample: [S4] F1: 128N, Sample, T1A"	"Found in Sample: [S6] F1: 129N, Sample, T1A"	"Found in Sample: [S7] F1: 129C, Sample, T1H"	"Found in Sample: [S8] F1: 130N, Sample, T1H"	"Found in Sample: [S9] F1: 130C, Sample, T3A"	"Found in Sample: [S10] F1: 131N, Sample, T3A"	"Found in Sample: [S11] F1: 131C, Sample, T3H"	"Found in Sample: [S12] F1: 132N, Sample, T3H"	"Found in Sample: [S13] F1: 132C, Sample, T5A"	"Found in Sample: [S14] F1: 133N, Sample, T5A"	"Found in Sample: [S15] F1: 133C, Sample, T5H"	"Found in Sample: [S16] F1: 134N, Sample, T5H"	"Found in Sample: [S1] F1: 126, Sample, Wild"	"Found in Sample: [S2] F1: 127N, Sample, Wild"	# Protein Groups	Modifications
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g39835.t1	Montipora_capitata_KBHIv3___RNAseq.g39835.t1	0	FALSE	44.726	37	9	20	9	296	32.2	8.24	24.23	9	0	2173.9	256.4	551.8	528.1	474.2	509.6	585.1	461.9	479.1	554	279.1	517.2	635.7	315.1	593.6	533.9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g37396.t1	Montipora_capitata_KBHIv3___RNAseq.g37396.t1	0	FALSE	8.098	4	2	2	2	743	84.7	9.51	0	2	0			13.3	22.7	21.1	18.6	22.2	16.1	12.6	17.2	13.6	13.5	17.4	20.2	20.7	17.4	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g12700.t1	Montipora_capitata_KBHIv3___RNAseq.g12700.t1	0	FALSE	25.944	17	6	6	6	474	53.3	6.89	8.91	6	0			15.7	22.6	15.5	15.5	23.3	20.3	16.8	16.7	9.4	17	15.8	27.7	19	17.3	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41461.t1	Montipora_capitata_KBHIv3___RNAseq.g41461.t1	0.001	FALSE	3.779	4	1	1	1	210	24.2	6.43	2.98	1	0	913.8	257.9	35.7	32.8	42.4	29.2	41.1	39.7	35.1	27.8	36.5	35.4	33.8	34.8	30	39.2	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g44361.t1	Montipora_capitata_KBHIv3___RNAseq.g44361.t1	0	FALSE	7.265	17	2	2	2	178	19.5	6.73	2.43	2	0		524.2	148.3	133.3	221.7	198.5	91.2	191.9	278.2	270.6	220	151.2	306	74	228.1	206.7	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g9615.t1	Montipora_capitata_KBHIv3___RNAseq.g9615.t1	0.001	FALSE	4.396	5	2	2	2	334	39.1	8.48	2.47	2	0			136.2	152.5	89.3	122.2	118.1	150.5	77.7	74	123.7	171.2	85.9	98.8	105.8	139.5	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g19107.t1	Montipora_capitata_KBHIv3___RNAseq.g19107.t1	0	FALSE	50.907	17	12	13	12	1242	143	8.03	14.33	12	0	567.4	308.5	609.3	588.1	564.2	559.1	512.8	625.9	476.3	401.6	522.6	456.7	386.9	536.5	494.6	594.9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g31077.t1	Montipora_capitata_KBHIv3___RNAseq.g31077.t1	0.027	FALSE	1.22	2	1	1	1	304	34.9	9.14	0	1	0			40.1	32.9	48.9	36	48.6	48.6	35.9	44.9	33.5	32.9	34.5	39.6	44.4	35.6	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g6796.t1	Montipora_capitata_KBHIv3___RNAseq.g6796.t1	0	FALSE	12.616	6	3	5	3	541	59.1	4.77	4.5	3	0			135.1	154.3	144.3	146.7	157.3	131.8	192.3	171.5	199.2	146.8	162.7	231.5	138.9	128.8	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g8512.t1	Montipora_capitata_KBHIv3___TS.g8512.t1	0	FALSE	7.824	13	2	2	2	184	20.3	6.86	0	2	0		242	48.4	49.9	37.8	40.1	31.4	34.7	40.2	39.4	61.1	54.1	54.4	61.5	36.3	46.3	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g24819.t1	Montipora_capitata_KBHIv3___RNAseq.g24819.t1	0	FALSE	14.649	17	3	4	3	227	25.4	8.88	5.33	3	0		1101.5	525.2	457.8	449.3	478.5	463.8	435.2	448.3	470.9	527.5	594.5	580.2	458	430.2	489	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g36853.t1	Montipora_capitata_KBHIv3___RNAseq.g36853.t1	0	FALSE	30.996	20	4	8	4	254	28.5	9.58	6.89	4	0		343.2	206.2	299.5	351.5	172.9	304.6	235.7	338.7	307.2	1955.3	604.3	379.4	313.1	518.3	321.5	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g18332.t1	Montipora_capitata_KBHIv3___RNAseq.g18332.t1	0	FALSE	17.43	22	6	6	5	309	35.6	7.02	2.8	6	1		1090.7	952.6	829.2	908.5	1060	646.8	810.2	735.8	667.8	900.3	1140.7	627.9	129	704.3	685.4	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g33455.t1	Montipora_capitata_KBHIv3___TS.g33455.t1	0.009	FALSE	1.734	3	1	1	1	704	77.3	7.84	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g50241.t1b	Montipora_capitata_KBHIv3___RNAseq.g50241.t1b	0	FALSE	13.475	9	3	3	3	405	45.7	6.84	3.12	3	0			47.8	43.5	32.9	52.2	38.6	39.6	48.4	44.9	34	46.8	56.5	48.7	36.8	45.8	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g43339.t1	Montipora_capitata_KBHIv3___RNAseq.g43339.t1	0.001	FALSE	4.426	4	2	2	2	539	63.2	8.46	0	2	0																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g4731.t1	Montipora_capitata_KBHIv3___RNAseq.g4731.t1	0	FALSE	6.236	6	1	1	1	285	32.2	6.99	0	1	0			30.1	32.8	35.1	27.6	29.4	32.9	22.8	21.6	44.3	35.1	34.6	45.9	29.8	28.3	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g11730.t1	Montipora_capitata_KBHIv3___RNAseq.g11730.t1	0	FALSE	6.118	10	2	2	2	317	35.6	5.45	2.39	2	0			23.6	21.6	28.1	27.1	29.5	24.9	18.4	26.3	29.6	24.6	23.7	27.8	27.6	31.5	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g14541.t1	Montipora_capitata_KBHIv3___TS.g14541.t1	0	FALSE	12.491	7	3	3	3	568	61.2	7.42	2.36	3	0		484.6	306.3	262.8	263.7	332.9	241.3	267.3	239.5	257.2	368	376.2	275.3	320.2	213.8	255.1	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g11765.t1	Montipora_capitata_KBHIv3___RNAseq.g11765.t1	0.001	FALSE	3.837	2	2	2	2	697	80	8.15	0	2	0			44.5	51.4	79.7	61.3	60.9	61	90.4	91.6	45.7	51.2	71	60.3	61.8	48	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g44537.t1	Montipora_capitata_KBHIv3___RNAseq.g44537.t1	0.014	FALSE	1.598	4	1	1	1	207	23.3	5.35	0	1	0		231.4	259.9	261.9	224	218.1	237.5	207.6	254	239.2	174.8	255	293.9	356.2	251.1	272.9	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g47191.t1a	Montipora_capitata_KBHIv3___RNAseq.g47191.t1a	0.013	FALSE	1.602	2	1	1	1	500	57	7.87	0	1	0																	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g15205.t1	Montipora_capitata_KBHIv3___RNAseq.g15205.t1	0	FALSE	23.912	17	4	26	4	195	21.7	4.7	5.9	4	0		2010.1	1461.9	1820.4	1372.9	1339.6	1454.5	1743.1	1318	1532.1	1554.7	1821.5	1903.6	1809.6	1757	2159.9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g15790.t1	Montipora_capitata_KBHIv3___RNAseq.g15790.t1	0.001	FALSE	2.886	3	2	2	2	694	76.5	6.83	1.78	2	0																	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g9678.t1	Montipora_capitata_KBHIv3___RNAseq.g9678.t1	0	FALSE	20.989	17	6	7	6	355	38.9	5.57	6.97	6	0			14.4	7.1	8.6	9.3	12.5	12.4	11.2	10.7	447.4	14.4	51.2	975.9	8.6	12.8	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___TS.g45000.t1	Montipora_capitata_KBHIv3___TS.g45000.t1	0.03	FALSE	1.197	1	1	1	1	787	89.2	9.85	1.89	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g25764.t2	Montipora_capitata_KBHIv3___TS.g25764.t2	0	FALSE	19.773	23	5	5	5	299	34	5.49	4.51	5	0	1660.1		146.4	138.3	165.5	140.1	123.1	133	157.3	144.9	129.5	147	161.3	98.1	150.6	143.6	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g19054.t4b	Montipora_capitata_KBHIv3___TS.g19054.t4b	0.001	FALSE	3.358	3	2	2	2	583	66.6	5.88	0	2	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___TS.g5114.t3	Montipora_capitata_KBHIv3___TS.g5114.t3	0.019	FALSE	1.372	4	1	1	1	447	49.4	5.66	0	1	0																	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g31111.t1	Montipora_capitata_KBHIv3___TS.g31111.t1	0.002	FALSE	2.267	2	1	1	1	507	57.7	9.45	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g27923.t1	Montipora_capitata_KBHIv3___RNAseq.g27923.t1	0.035	FALSE	1.119	10	1	1	1	105	12.1	4.81	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g37242.t2	Montipora_capitata_KBHIv3___RNAseq.g37242.t2	0	FALSE	9.719	14	3	3	3	277	30.3	9.16	0	3	0		226.1	253.6	267.8	289	256.9	258	290.6	297.1	283.3	263.9	304.5	288	393.8	253.3	281.8	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g38871.t1	Montipora_capitata_KBHIv3___RNAseq.g38871.t1	0	FALSE	5.05	2	2	2	2	860	97	5.52	1.96	2	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g49157.t1	Montipora_capitata_KBHIv3___TS.g49157.t1	0	FALSE	7.057	4	3	3	3	836	92.9	5.5	4.48	3	0	391.1	286.8	317.3	358.8	458.8	462.8	400.7	479.8	391.1	302.8	336.7	297.5	327.2	328.4	363	362.4	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g8820.t1	Montipora_capitata_KBHIv3___RNAseq.g8820.t1	0.001	FALSE	4.584	5	3	3	3	559	62.3	7.83	0	3	0			118.5	107.1	159.6	131.8	131.8	112.9	165.2	244.8	133.6	128.5	177.6	169.6	208.1	146.3	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g12829.t1	Montipora_capitata_KBHIv3___RNAseq.g12829.t1	0.007	FALSE	1.893	5	1	1	1	386	43.8	7.72	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g28220.t1a	Montipora_capitata_KBHIv3___TS.g28220.t1a	0.002	FALSE	2.366	2	1	1	1	477	51.7	9.38	1.93	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g34535.t1	Montipora_capitata_KBHIv3___RNAseq.g34535.t1	0	FALSE	12.898	13	1	3	1	144	15.7	10.92	4.29	1	0			351.4	144.8	115	352.4	175.4	198.4	139.5	158.5	78.9	425.2	243.6	278.2	113.4	115.7	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g42716.t1	Montipora_capitata_KBHIv3___RNAseq.g42716.t1	0	FALSE	11.731	4	3	3	3	965	106	6.76	0	3	0			59.5	63.4	44.8	59	69.9	52.4	39.7	41.6	52.1	69.4	45.8	48.8	56.8	50.9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g42723.t1	Montipora_capitata_KBHIv3___RNAseq.g42723.t1	0	FALSE	22.041	42	5	10	5	125	13.5	5.9	13.48	5	0			110.5	96.1	109.3	115.9	92	86.5	92.5	98.3	1507.6	124.4	234.2	2836.2	207.3	148.7	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g19019.t1	Montipora_capitata_KBHIv3___RNAseq.g19019.t1	0.001	FALSE	4.499	3	2	2	2	919	101.3	5.1	0	2	0		42.4	187.4	195.3	218.4	215.3	318.3	265.4	191	195.9	210.3	151.3	155.5	251.4	214.7	216.4	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g15073.t1	Montipora_capitata_KBHIv3___RNAseq.g15073.t1	0	FALSE	7.565	11	2	3	2	166	18.6	6.44	2.59	2	0		37.6	335.3	357.5	301.1	306.6	319.4	328.9	258.3	242.4	346.4	422.2	390.3	258.2	273.4	333.5	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.17924_t	Montipora_capitata_KBHIv3___RNAseq.17924_t	0.001	FALSE	4.768	2	2	2	1	763	86.5	7.15	0	2	0																	Not Found	Not Found	Not Found	Not Found	High	Not Found	Not Found	Not Found	High	High	Not Found	Not Found	High	Not Found	Not Found	Not Found	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g50006.t1	Montipora_capitata_KBHIv3___RNAseq.g50006.t1	0.001	FALSE	3.628	3	1	2	1	342	36.6	9.16	1.73	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g23441.t1	Montipora_capitata_KBHIv3___RNAseq.g23441.t1	0.001	FALSE	4.706	1	1	1	1	1019	117.8	6.77	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g5388.t1c	Montipora_capitata_KBHIv3___RNAseq.g5388.t1c	0.025	FALSE	1.266	2	1	1	1	695	79.2	10.42	1.63	1	0																	Not Found	Not Found	High	High	High	High	High	High	Not Found	High	High	High	High	Not Found	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.7417_t	Montipora_capitata_KBHIv3___RNAseq.7417_t	0	FALSE	7.519	4	2	2	2	732	80.9	8.57	3.65	2	0			84.4	78.7	58.1	55.5	57.1	65.6	56	62.9	56.9	94.5	59.4	89.8	56	68.4	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g26766.t1	Montipora_capitata_KBHIv3___RNAseq.g26766.t1	0	FALSE	5.042	7	1	1	1	247	28.1	7.66	2.89	1	0																	Not Found	Not Found	High	High	High	Not Found	High	High	High	Not Found	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g15057.t1	Montipora_capitata_KBHIv3___RNAseq.g15057.t1	0.002	FALSE	3.14	3	1	1	1	509	57.3	6.76	0	1	0			14.6	17.1	21.6	17.5	13.2	14.4	13.7	18	12.5	15.6	16.7	18.1	14.4	14.7	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g50317.t1a	Montipora_capitata_KBHIv3___RNAseq.g50317.t1a	0.005	FALSE	2.081	1	1	1	1	925	104.2	8.78	1.7	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g46233.t1	Montipora_capitata_KBHIv3___RNAseq.g46233.t1	0.007	FALSE	1.867	1	1	2	1	909	102.8	9.39	0	1	0		233	61.9	70.3	54.7	53.2	50.3	64.6	39.8	36	54.8	64.5	45.7	52.2	54.6	70.7	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss [N-Term]
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g40444.t1	Montipora_capitata_KBHIv3___RNAseq.g40444.t1	0	FALSE	8.766	7	2	2	2	370	41.9	5.2	0	2	0		25.1	134.8	152.1	134.2	120.2	108.3	153.2	106.3	87.1	41.5	138.7	87.8	16.6	101.3	121.1	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g44151.t1	Montipora_capitata_KBHIv3___RNAseq.g44151.t1	0.002	FALSE	2.317	9	2	2	2	151	17.7	5.59	4.09	2	0			222.6	241.9	213.3	200	224.6	206.8	148	161.2	237.4	247.1	164.8	161.9	222.3	245.3	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g15015.t1	Montipora_capitata_KBHIv3___RNAseq.g15015.t1	0	FALSE	13.352	2	4	5	4	1763	192.6	5.62	1.72	4	0			162.6	242.6	174.3	90.2	180.6	209.8	79.5	71.6	304.7	120.6	63.9	301.5	365	379.5	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g41466.t1	Montipora_capitata_KBHIv3___RNAseq.g41466.t1	0	FALSE	24.265	8	9	9	5	1165	132.1	5.71	7.18	9	4		587.3	276	431.4	370.6	368	329.1	317.1	311.2	307.9	467.4	289.4	369.1	354.4	297.3	264.9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g50211.t1	Montipora_capitata_KBHIv3___RNAseq.g50211.t1	0	FALSE	46.589	22	11	13	11	567	61.3	7.59	14.97	11	0		334.4	260.4	274.8	259.2	251.2	227.6	249.9	294.4	263.1	396.9	277.7	326	349.6	267.7	316	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g15358.t1a	Montipora_capitata_KBHIv3___TS.g15358.t1a	0	FALSE	24.472	10	4	5	4	566	64.5	6.76	11.16	4	0			44.7	44.2	54.4	44.7	48.6	49.2	53.6	39.7	42.7	31.2	40.4	44.8	45.2	42.5	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g9822.t1	Montipora_capitata_KBHIv3___RNAseq.g9822.t1	0	FALSE	21.194	46	4	5	4	151	17.3	7.08	11.98	4	0			80.2	130.7	117.7	86	67.2	76.6	93.8	91	93.2	102.2	73.7	112.8	90.8	88.4	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss+Acetyl [N-Term]
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g35639.t1	Montipora_capitata_KBHIv3___RNAseq.g35639.t1	0.001	FALSE	3.756	8	1	1	1	133	15.5	6.54	1.94	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g30085.t1	Montipora_capitata_KBHIv3___RNAseq.g30085.t1	0.008	FALSE	1.802	1	1	1	1	1400	157.1	7.36	2.01	1	0																	Not Found	Not Found	High	Not Found	High	Not Found	High	Not Found	Not Found	High	Not Found	Not Found	Not Found	Not Found	High	Not Found	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g38263.t1	Montipora_capitata_KBHIv3___RNAseq.g38263.t1	0.017	FALSE	1.418	6	1	1	1	157	17.6	8.7	0	1	0																	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g11841.t2	Montipora_capitata_KBHIv3___RNAseq.g11841.t2	0	FALSE	59.864	13	16	17	16	1387	160.8	6.19	18.88	16	0		923.6	429	347.7	504.6	510.7	470.7	484.8	584.3	555.6	440.3	361.5	448.3	464.1	464.3	362.6	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g3173.t1	Montipora_capitata_KBHIv3___RNAseq.g3173.t1	0	FALSE	48.91	21	12	14	12	772	85.2	7.37	14.68	12	0	587.9	522	612.8	701.7	551.4	522.2	602.9	715.8	417.3	388.8	608.4	531	538.4	667.5	503.6	595.9	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g44535.t1	Montipora_capitata_KBHIv3___RNAseq.g44535.t1	0.002	FALSE	3.153	3	2	2	2	587	65.8	9.03	0	2	0			31.3	52.2	33.1	32	40.8	27.5	17.2	22.8	28.6	32.9	26.3	30.2	39.6	35.3	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.1535_t	Montipora_capitata_KBHIv3___RNAseq.1535_t	0.002	FALSE	2.291	1	1	1	1	2397	262	6.58	0	1	0	1234.5		20.1	19.4	17.6	22.3	38.8	50.4	15.2	15.7	35.9	30.8	20.2	30.6	22.2	22.2	High	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g19134.t1	Montipora_capitata_KBHIv3___RNAseq.g19134.t1	0.032	FALSE	1.164	8	1	1	1	135	14.7	4.78	2.46	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	Not Found	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___TS.g40632.t1b	Montipora_capitata_KBHIv3___TS.g40632.t1b	0.009	FALSE	1.738	1	1	1	1	575	62.9	8.72	0	1	0			38.1	39	48.3	27.3	51.2	52.9	44	48.2	21.1	28.7	43.4	32.2	35.8	29.2	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Montipora_capitata_KBHIv3___RNAseq.g27717.t1	Montipora_capitata_KBHIv3___RNAseq.g27717.t1	0	FALSE	11.354	5	4	4	4	862	95.2	8.28	3.63	4	0																	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Montipora_capitata_KBHIv3___TS.g28662.t1	Montipora_capitata_KBHIv3___TS.g28662.t1	0.04	FALSE	1.054	0	1	1	1	3198	365.2	6.7	0	1	0																	Not Found	Not Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1	
